"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets","2015 Adopted","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast","2020 Forecast"
"Laboratory Information Management System Upgrade","Water and Waste","20400008yy","Environment","Wastewater","750","500","0","0","0","0","0"
"Building Renovations - 1199 Pacific Avenue","Water and Waste","2030000813","Environment","Wastewater","156","0","0","0","0","55","0"
"Combined Sewer Overflow and Basement Flood Management Strategy","Water and Waste","20380001yy","Environment","Wastewater","N/A *","17,881","14,430","31,900","44,648","21,300","22,618"
"Comminutor Chamber Rehabilitation Program","Water and Waste","20300030YY","Environment","Wastewater","0","1,750","1,000","1,100","1,100","1,200","0"
"360 McPhillips Equipment Storage Facility","Water and Waste","2030003115","Environment","Wastewater","0","135","0","0","0","0","0"
"Northeast Interceptor River Crossing Upgrade","Water and Waste","20370015YY","Environment","Wastewater","0","1,500","11,000","0","0","0","0"
"Southwest Interceptor River Crossing","Water and Waste","20370016YY","Environment","Wastewater","0","0","0","0","200","1,800","13,000"
"D'Arcy Lift Station Load Shedding Upgrade","Water and Waste","20350001616","Environment","Wastewater","0","0","400","0","0","0","0"
"Sewer Renewals","Water and Waste","203900xxyy","Environment","Wastewater","N/A *","16,100","16,900","17,800","18,200","19,500","20,500"
"Brady Road Resource Management Facility  - Cell Construction - Phase 1","Water and Waste","20620004yy","Environment","Solid Waste Collection and Disposal","2,790","550","2,600","2,100","2,200","2,300","0"
"Brady Road Resource Management Facility  - Cell Construction - Phase 2","Water and Waste","20620004yy","Environment","Solid Waste Collection and Disposal","0","0","0","0","0","650","3,350"
"Brady Road Resource Management Facility - Drainage, Roadways and Site Improvements","Water and Waste","20620006yy","Environment","Solid Waste Collection and Disposal","5,040","770","600","400","0","0","0"
"Brady Road Resource Management Facility - Landfill Gas Capture Expansion - Phase 2","Water and Waste","2062000214","Environment","Solid Waste Collection and Disposal","0","0","1,600","0","1,800","0","0"
"Brady Road Resource Management Facility - Master Plan Development","Water and Waste","20650008yy","Environment","Solid Waste Collection and Disposal","-","400","0","0","0","0","0"
"Summit Landfill Closure / Post-Closure","Water and Waste","2063000113","Environment","Solid Waste Collection and Disposal","2,326","330","0","0","0","0","0"
"Comprehensive Integrated Waste Management Strategy (CIWMS) - 4R Winnipeg Depots (Community Resource Recovery Centres)","Water and Waste","20650011yy","Environment","Recycling and Waste Diversion","10,920","800","400","4,750","0","0","0"
"CIWMS - Material Recycling Facility","Water and Waste","2065001216","Environment","Recycling and Waste Diversion","200","1,000","0","0","0","0","0"
"Shoal Lake Aqueduct and Falcon River Diversion Bridges","Water and Waste","2001002713","Environment","Water","2,000","2,000","0","0","0","0","0"
"Shoal Lake Aqueduct Asset Preservation","Water and Waste","20030006yy","Environment","Water","2,967","1,900","1,900","1,500","0","0","0"
"Shoal Lake Aqueduct Intake Facility Rehabilitation","Water and Waste","20120002yy","Environment","Water","1,568","3,109","3,881","400","1,900","0","775"
"Branch Aqueduct Condition Assessment and Rehabilitation","Water and Waste","2003000515","Environment","Water","1,500","500","0","0","0","0","1,000"
"GWWD Railway Bridge Rehabilitation","Water and Waste","2006000314","Environment","Water","2,700","1,400","0","0","0","0","0"
"Deacon Site Flood Protection","Water and Waste","2002500514","Environment","Water","300","1,825","0","0","0","0","0"
"Tache Booster Pumping Station","Water and Waste","2005000615","Environment","Water","3,000","0","0","0","2,600","0","0"
"Pumping Stations Reliability Upgrades","Water and Waste","20050003yy","Environment","Water","3,150","2,050","650","0","0","0","0"
"Pumping Stations and Reservoirs Structural Upgrades","Water and Waste","20050012yy","Environment","Water","4,020","5,225","7,300","0","400","0","0"
"Chlorination Upgrading at Pumping Stations","Water and Waste","20050011yy","Environment","Water","-","425","2,750","0","0","0","0"
"Water Supervisory Control and Data Acquisition (SCADA) Upgrade","Water and Waste","20050002yy","Environment","Water","800","7,600","3,900","0","0","0","0"
"Waterworks System Security Upgrades","Water and Waste","20010015yy","Environment","Water","N/A *","800","600","500","0","0","0"
