"Project Name","Department","Project Number","Our Winnipeg","Service","Previous Budgets Note","Previous Budgets","2014 Adopted","2015 Forecast","2016 Forecast","2017 Forecast","2018 Forecast","2019 Forecast"
"Intelligence Led Reporting (Phase 2)","Winnipeg Police Service","2202600018","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","1,050,000","0"
"Major Case Management System Expansion","Winnipeg Police Service","2202700017","Collaborate to Make Safe Communities","Police Response",,"0","0","0","1,158,000","0","0","500,000"
"WPS Data Integration, Auditing and Quality Solution Tool","Winnipeg Police Service","2202900018","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","662,000","0"
"Bomb Unit Building","Winnipeg Police Service","2203000019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","651,000"
"In Car Computing            ","Winnipeg Police Service","22xxxxxx13","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","1,200,000"
"Next Generation 911","Winnipeg Police Service","2203100019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","800,000"
"Bomb Unit Truck Replacement","Winnipeg Police Service","2203500019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","300,000"
"Technology Upgrades - Information Systems","Winnipeg Police Service","2203200019","Collaborate to Make Safe Communities","Police Response",,"0","0","0","0","0","0","1,200,000"
"Golf Course Improvements","Winnipeg Golf Services","639xxxxx10","Recreation","Golf Services (SOA)",,"715,000","0","0","0","0","0","0"
"Stormwater Retention Basin Rehabilitation","Water and Waste","20750001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"50,000","200,000","200,000","600,000","600,000","600,000"
"Flood Pumping Station Rehabilitation","Water and Waste","20765001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"850,000","1,500,000","1,000,000","1,000,000","1,000,000","1,000,000"
"Land Drainage and Combined Sewers Outfall Gate Structures","Water and Waste","20785002yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"700,000","1,700,000","1,800,000","1,300,000","1,500,000","1,500,000"
"Floodplain Management","Water and Waste","20700004yy","Environment","Land Drainage and Flood Control",,"2,323,000","100,000","100,000","0","0","0","0"
"Seine River Waterway Acquisition","Water and Waste","20800001yy","Environment","Land Drainage and Flood Control",,"1,196,000","150,000","150,000","150,000","150,000","150,000","150,000"
"Primary Dike Upgrading","Water and Waste","20700014yy","Environment","Land Drainage and Flood Control",,"4,265,000","0","0","0","1,100,000","1,000,000","1,300,000"
"Land Drainage Utility Study and Implementation","Water and Waste","2070001514","Environment","Land Drainage and Flood Control",,"0","500,000","0","0","0","0","0"
"Permanent Flood Pumping Stations","Water and Waste","20700023yy","Environment","Land Drainage and Flood Control",,"435,000","0","500,000","400,000","400,000","0","0"
"Land Drainage Supervisory Control and Data Acquisition (SCADA) System","Water and Waste","2070002414","Environment","Land Drainage and Flood Control",,"300,000","100,000","0","0","0","0","0"
"Flood Manual Upgrades","Water and Waste","20700012yy","Environment","Land Drainage and Flood Control",,"1,050,000","948,000","300,000","0","0","0","0"
"Outfall Rehabilitation","Water and Waste","20780001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"900,000","1,200,000","1,508,000","2,000,000","2,000,000","1,011,000"
"Development Agreement Paybacks","Water and Waste","20770001yy","Environment","Land Drainage and Flood Control","See Capital Budget Book Detail Page",,"500,000","500,000","500,000","500,000","500,000","0"
"Biosolids - Alternative Disposal Delivery and Management System","Water and Waste","203110004B","Environment","Wastewater",,"44,644,000","5,000,000","40,000,000","71,000,000","61,000,000","0","0"
